STTSTTSTT,Loại công trìnhLoại côngLoại công  trìnhtrình,Tiêu chí phân cấpTiêuTiêu  chíchí  phânphân  cấpcấp,Cấp công trìnhCấp côngCấp công  trìnhtrình — Đặc biệtĐặc biệtĐặc biệt,Cấp công trìnhCấp côngCấp công  trìnhtrình — III,Cấp công trìnhCấp côngCấp công  trìnhtrình — IIIIII,Cấp công trìnhCấp côngCấp công  trìnhtrình — IIIIIIIII,Cấp công trìnhCấp côngCấp công  trìnhtrình — IVIVIV,Cấp công trìnhCấp côngCấp công  trìnhtrình
1.4.21.4.21.4.2,a) Có nối ray với đường sắt quốc gia hoặc đường sắt địa phươnga) Có nối ray với đường sắt quốc gia hoặc đường sắt địa phươnga) Có nối ray với đường sắt quốc gia hoặc đường sắt địa phương,Tốc độ thiết kế (km/h)Tốc độ thiết kế (km/h)Tốc độ thiết kế (km/h),"- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3","- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3","- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3","- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3","- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3","- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.435 mm: Xác định cấp theo mục 1.4.2.2- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3- Trường hợp nối ray với đường sắt khổ đường 1.000 mm; đường lồng, khổ đường (1.435 - 1.000) mm: Xác định cấp theo mục 1.4.2.3"
1.4.21.4.21.4.2,b) Không nối ray với đường sắt quốc gia hoặc đường sắt địa phươngb) Không nối ray với đường sắt quốc gia hoặc đường sắt địa phươngb) Không nối ray với đường sắt quốc gia hoặc đường sắt địa phương,Mức độ quan trọngMức độ quan trọngMức độ quan trọng,Cấp III với mọi quy môCấp III với mọi quy môCấp III với mọi quy mô,Cấp III với mọi quy môCấp III với mọi quy môCấp III với mọi quy mô,Cấp III với mọi quy môCấp III với mọi quy môCấp III với mọi quy mô,Cấp III với mọi quy môCấp III với mọi quy môCấp III với mọi quy mô,Cấp III với mọi quy môCấp III với mọi quy môCấp III với mọi quy mô,Cấp III với mọi quy môCấp III với mọi quy môCấp III với mọi quy mô
1.4.31.4.31.4.3,Công trình cầuCôngCông  trìnhtrình  cầucầu,Công trình cầuCôngCông  trìnhtrình  cầucầu,Công trình cầuCôngCông  trìnhtrình  cầucầu,Công trình cầuCôngCông  trìnhtrình  cầucầu,Công trình cầuCôngCông  trìnhtrình  cầucầu,Công trình cầuCôngCông  trìnhtrình  cầucầu,Công trình cầuCôngCông  trìnhtrình  cầucầu,Công trình cầuCôngCông  trìnhtrình  cầucầu
1.4.31.4.31.4.3,1.4.3.1 Cầu phao1.4.3.1 Cầu phao1.4.3.1 Cầu phao,Lưu lượng quy đổi (xe/ngày đêm)Lưu lượng quy đổi (xe/ngày đêm)Lưu lượng quy đổi (xe/ngày đêm),,>3.000>3.000>3.000,1.000 ÷ 3.0001.000 ÷ 3.0001.000 ÷ 3.000,700 ÷ <1.000700 ÷ <1.000700 ÷ <1.000,500 ÷ <700500 ÷ <700500 ÷ <700,
1.4.41.4.41.4.4,Công trình đường thủy nội địaCôngCông  trìnhtrình  đường thủy nội địađường thủy nội địa,Công trình đường thủy nội địaCôngCông  trìnhtrình  đường thủy nội địađường thủy nội địa,Công trình đường thủy nội địaCôngCông  trìnhtrình  đường thủy nội địađường thủy nội địa,Công trình đường thủy nội địaCôngCông  trìnhtrình  đường thủy nội địađường thủy nội địa,Công trình đường thủy nội địaCôngCông  trìnhtrình  đường thủy nội địađường thủy nội địa,Công trình đường thủy nội địaCôngCông  trìnhtrình  đường thủy nội địađường thủy nội địa,Công trình đường thủy nội địaCôngCông  trìnhtrình  đường thủy nội địađường thủy nội địa,Công trình đường thủy nội địaCôngCông  trìnhtrình  đường thủy nội địađường thủy nội địa
1.4.41.4.41.4.4,"1.4.4.1 Công trình sửa chữa phương tiện thủy nội địa (bến, ụ, triền, đà…)1.4.4.1 Công trình sửa chữa phương tiện thủy nội địa (bến, ụ, triền, đà…)1.4.4.1 Công trình sửa chữa phương tiện thủy nội địa (bến, ụ, triền, đà…)",Tải trọng của tàu (nghìn DWT)Tải trọng của tàu (nghìn DWT)Tải trọng của tàu (nghìn DWT),,>30>30>30,10 ÷ 3010 ÷ 3010 ÷ 30,5 ÷ <105 ÷ <105 ÷ <10,<5<5<5,
1.4.41.4.41.4.4,"1.4.4.2 Cảng, bến thủy nội địa1.4.4.2 Cảng, bến thủy nội địa1.4.4.2 Cảng, bến thủy nội địa","1.4.4.2 Cảng, bến thủy nội địa1.4.4.2 Cảng, bến thủy nội địa1.4.4.2 Cảng, bến thủy nội địa","1.4.4.2 Cảng, bến thủy nội địa1.4.4.2 Cảng, bến thủy nội địa1.4.4.2 Cảng, bến thủy nội địa","1.4.4.2 Cảng, bến thủy nội địa1.4.4.2 Cảng, bến thủy nội địa1.4.4.2 Cảng, bến thủy nội địa","1.4.4.2 Cảng, bến thủy nội địa1.4.4.2 Cảng, bến thủy nội địa1.4.4.2 Cảng, bến thủy nội địa","1.4.4.2 Cảng, bến thủy nội địa1.4.4.2 Cảng, bến thủy nội địa1.4.4.2 Cảng, bến thủy nội địa","1.4.4.2 Cảng, bến thủy nội địa1.4.4.2 Cảng, bến thủy nội địa1.4.4.2 Cảng, bến thủy nội địa","1.4.4.2 Cảng, bến thủy nội địa1.4.4.2 Cảng, bến thủy nội địa1.4.4.2 Cảng, bến thủy nội địa"
1.4.41.4.41.4.4,"a) Cảng, bến hàng hóaa) Cảng, bến hàng hóaa) Cảng, bến hàng hóa",Tải trọng của tàu (nghìn DWT)Tải trọng của tàu (nghìn DWT)Tải trọng của tàu (nghìn DWT),>5>5>5,3 ÷ 53 ÷ 53 ÷ 5,"1,5 ÷ <31,5 ÷ <31,5 ÷ <3","0,75 ÷ <1,50,75 ÷ <1,50,75 ÷ <1,5","<0,75<0,75<0,75",
1.4.41.4.41.4.4,"b) Cảng, bến hành kháchb) Cảng, bến hành kháchb) Cảng, bến hành khách",Cỡ phương tiện lớn nhất (ghế)Cỡ phương tiện lớn nhất (ghế)Cỡ phương tiện lớn nhất (ghế),>500>500>500,300 ÷ 500300 ÷ 500300 ÷ 500,100 ÷ <300100 ÷ <300100 ÷ <300,50 ÷ <10050 ÷ <10050 ÷ <100,<50<50<50,
1.4.41.4.41.4.4,1.4.4.3 Bến phà1.4.4.3 Bến phà1.4.4.3 Bến phà,Lưu lượng (xe quy đổi/ngày đêm)Lưu lượng (xe quy đổi/ngày đêm)Lưu lượng (xe quy đổi/ngày đêm),>1.500>1.500>1.500,700 ÷ 1.500700 ÷ 1.500700 ÷ 1.500,400 ÷ <700400 ÷ <700400 ÷ <700,200 ÷ <400200 ÷ <400200 ÷ <400,<200<200<200,
1.4.41.4.41.4.4,1.4.4.4 Âu tàu1.4.4.4 Âu tàu1.4.4.4 Âu tàu,Tải trọng của tàu (nghìn DWT)Tải trọng của tàu (nghìn DWT)Tải trọng của tàu (nghìn DWT),>3>3>3,"1,5 ÷ 31,5 ÷ 31,5 ÷ 3","0,75 ÷ <1,50,75 ÷ <1,50,75 ÷ <1,5","0,2 ÷ <0,750,2 ÷ <0,750,2 ÷ <0,75","<0,2<0,2<0,2",
1.4.41.4.41.4.4,1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:,1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:,1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:,1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:,1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:,1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:,1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:,1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:1.4.4.5 Đường thủy có bề rộng (B) hoặc độ sâu (H) nước chạy tàu:
